,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
-2.49600e-01,0.00e+00,3.53e-01,3.28e-01,4.52e+00, 
-2.49200e-01,-2.48e-02,3.54e-01,3.29e-01,4.72e+00, 
-2.48800e-01,-2.64e-02,3.54e-01,3.29e-01,4.72e+00, 
-2.48400e-01,-2.88e-02,3.56e-01,3.31e-01,4.88e+00, 
-2.48000e-01,-2.72e-02,3.56e-01,3.31e-01,4.96e+00, 
-2.47600e-01,-1.76e-02,3.57e-01,3.32e-01,5.12e+00, 
-2.47200e-01,-1.60e-02,3.57e-01,3.33e-01,5.12e+00, 
-2.46800e-01,-4.00e-03,3.58e-01,3.34e-01,5.32e+00, 
-2.46400e-01,-1.60e-03,3.58e-01,3.34e-01,5.36e+00, 
-2.46000e-01,9.60e-03,3.59e-01,3.35e-01,5.40e+00, 
-2.45600e-01,1.04e-02,3.59e-01,3.35e-01,5.40e+00, 
-2.45200e-01,1.84e-02,3.59e-01,3.35e-01,5.36e+00, 
-2.44800e-01,1.92e-02,3.59e-01,3.35e-01,5.36e+00, 
-2.44400e-01,2.56e-02,3.60e-01,3.36e-01,5.40e+00, 
-2.44000e-01,2.72e-02,3.59e-01,3.36e-01,5.36e+00, 
-2.43600e-01,3.12e-02,3.60e-01,3.36e-01,5.32e+00, 
-2.43200e-01,3.20e-02,3.60e-01,3.36e-01,5.36e+00, 
-2.42800e-01,3.52e-02,3.60e-01,3.36e-01,5.28e+00, 
-2.42400e-01,3.52e-02,3.60e-01,3.36e-01,5.28e+00, 
-2.42000e-01,3.68e-02,3.60e-01,3.36e-01,5.32e+00, 
-2.41600e-01,3.76e-02,3.60e-01,3.36e-01,5.24e+00, 
-2.41200e-01,3.84e-02,3.60e-01,3.36e-01,5.28e+00, 
-2.40800e-01,3.84e-02,3.60e-01,3.36e-01,5.28e+00, 
-2.40400e-01,3.84e-02,3.60e-01,3.36e-01,5.24e+00, 
-2.40000e-01,3.84e-02,3.60e-01,3.36e-01,5.24e+00, 
-2.39600e-01,3.84e-02,3.60e-01,3.36e-01,5.20e+00, 
-2.39200e-01,3.84e-02,3.60e-01,3.36e-01,5.20e+00, 
-2.38800e-01,3.68e-02,3.60e-01,3.36e-01,5.24e+00, 
-2.38400e-01,3.76e-02,3.60e-01,3.36e-01,5.24e+00, 
-2.38000e-01,3.60e-02,3.59e-01,3.36e-01,5.16e+00, 
-2.37600e-01,3.68e-02,3.59e-01,3.36e-01,5.20e+00, 
-2.37200e-01,3.52e-02,3.60e-01,3.36e-01,5.16e+00, 
-2.36800e-01,3.60e-02,3.60e-01,3.36e-01,5.16e+00, 
-2.36400e-01,3.36e-02,3.59e-01,3.36e-01,5.12e+00, 
-2.36000e-01,3.36e-02,3.60e-01,3.36e-01,5.16e+00, 
-2.35600e-01,3.20e-02,3.59e-01,3.36e-01,5.12e+00, 
-2.35200e-01,3.12e-02,3.60e-01,3.36e-01,5.12e+00, 
-2.34800e-01,3.04e-02,3.59e-01,3.36e-01,5.12e+00, 
-2.34400e-01,2.96e-02,3.59e-01,3.36e-01,5.12e+00, 
-2.34000e-01,2.72e-02,3.60e-01,3.36e-01,5.08e+00, 
-2.33600e-01,2.72e-02,3.59e-01,3.36e-01,5.08e+00, 
-2.33200e-01,2.48e-02,3.59e-01,3.35e-01,5.12e+00, 
-2.32800e-01,2.48e-02,3.59e-01,3.35e-01,5.12e+00, 
-2.32400e-01,2.24e-02,3.59e-01,3.36e-01,5.04e+00, 
-2.32000e-01,2.24e-02,3.59e-01,3.35e-01,5.04e+00, 
-2.31600e-01,1.92e-02,3.59e-01,3.36e-01,5.00e+00, 
-2.31200e-01,2.00e-02,3.59e-01,3.35e-01,5.00e+00, 
-2.30800e-01,1.76e-02,3.59e-01,3.35e-01,5.04e+00, 
-2.30400e-01,1.68e-02,3.59e-01,3.35e-01,4.96e+00, 
-2.30000e-01,1.44e-02,3.59e-01,3.35e-01,5.00e+00, 
-2.29600e-01,1.44e-02,3.59e-01,3.35e-01,4.96e+00, 
-2.29200e-01,1.12e-02,3.59e-01,3.35e-01,4.96e+00, 
-2.28800e-01,1.20e-02,3.59e-01,3.35e-01,4.96e+00, 
-2.28400e-01,9.60e-03,3.59e-01,3.35e-01,4.92e+00, 
-2.28000e-01,8.80e-03,3.59e-01,3.35e-01,4.96e+00, 
-2.27600e-01,5.60e-03,3.59e-01,3.35e-01,4.92e+00, 
-2.27200e-01,4.80e-03,3.59e-01,3.35e-01,4.92e+00, 
-2.26800e-01,2.40e-03,3.59e-01,3.35e-01,4.88e+00, 
-2.26400e-01,2.40e-03,3.59e-01,3.35e-01,4.92e+00, 
-2.26000e-01,0.00e+00,3.59e-01,3.35e-01,4.84e+00, 
-2.25600e-01,-8.00e-04,3.59e-01,3.35e-01,4.88e+00, 
-2.25200e-01,-3.20e-03,3.58e-01,3.35e-01,4.84e+00, 
-2.24800e-01,-3.20e-03,3.58e-01,3.35e-01,4.88e+00, 
-2.24400e-01,-5.60e-03,3.59e-01,3.34e-01,4.80e+00, 
-2.24000e-01,-6.40e-03,3.59e-01,3.35e-01,4.84e+00, 
-2.23600e-01,-8.00e-03,3.58e-01,3.34e-01,4.80e+00, 
-2.23200e-01,-8.00e-03,3.58e-01,3.34e-01,4.80e+00, 
-2.22800e-01,-1.12e-02,3.58e-01,3.35e-01,4.80e+00, 
