,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
3.49680e-01,1.60e-02,2.14e-01,3.21e-01,-2.64e+00, 
3.49700e-01,1.60e-02,2.14e-01,3.21e-01,-2.64e+00, 
3.49720e-01,1.60e-02,2.14e-01,3.21e-01,-2.64e+00, 
3.49740e-01,1.60e-02,2.14e-01,3.21e-01,-2.64e+00, 
3.49760e-01,1.60e-02,2.14e-01,3.21e-01,-2.64e+00, 
3.49780e-01,1.60e-02,2.14e-01,3.21e-01,-2.64e+00, 
3.49800e-01,1.60e-02,2.14e-01,3.20e-01,-2.64e+00, 
3.49820e-01,1.60e-02,2.14e-01,3.20e-01,-2.64e+00, 
3.49840e-01,1.60e-02,2.14e-01,3.20e-01,-2.64e+00, 
3.49860e-01,1.44e-02,2.14e-01,3.21e-01,-2.64e+00, 
3.49880e-01,1.60e-02,2.14e-01,3.20e-01,-2.64e+00, 
3.49900e-01,1.68e-02,2.14e-01,3.20e-01,-2.64e+00, 
3.49920e-01,1.52e-02,2.14e-01,3.20e-01,-2.64e+00, 
3.49940e-01,1.60e-02,2.14e-01,3.20e-01,-2.64e+00, 
3.49960e-01,1.60e-02,2.14e-01,3.20e-01,-2.64e+00, 
3.49980e-01,1.52e-02,2.14e-01,3.21e-01,-2.64e+00, 
3.50000e-01,1.60e-02,2.14e-01,3.20e-01,-2.64e+00, 
3.50020e-01,1.68e-02,2.14e-01,3.20e-01,-2.64e+00, 
3.50040e-01,1.52e-02,2.14e-01,3.20e-01,-2.64e+00, 
3.50060e-01,1.52e-02,2.14e-01,3.20e-01,-2.64e+00, 
3.50080e-01,1.60e-02,2.14e-01,3.20e-01,-2.64e+00, 
3.50100e-01,1.44e-02,2.14e-01,3.20e-01,-2.64e+00, 
3.50120e-01,1.60e-02,2.14e-01,3.19e-01,-2.64e+00, 
3.50140e-01,1.68e-02,2.14e-01,3.20e-01,-2.64e+00, 
3.50160e-01,1.60e-02,2.14e-01,3.20e-01,-2.64e+00, 
3.50180e-01,1.52e-02,2.14e-01,3.20e-01,-2.64e+00, 
3.50200e-01,1.52e-02,2.14e-01,3.20e-01,-2.64e+00, 
