# Info for files on 4-11
#   peak=-1 -> overview signal 
#   peak=1.. -> peak from right
#   pump_beam=1 -> there is a pump beam
# file peak pump_beam 
../all_data/4-11/20130411-14_18_28.csv -1 1
../all_data/4-11/20130411-14_19_43.csv -1 1
../all_data/4-11/20130411-14_20_26.csv -1 1
../all_data/4-11/20130411-14_21_50.csv -1 1
../all_data/4-11/20130411-14_21_8.csv -1 1
../all_data/4-11/20130411-14_22_29.csv -1 1
../all_data/4-11/20130411-14_23_38.csv -1 0
../all_data/4-11/20130411-14_24_19.csv -1 0
../all_data/4-11/20130411-14_25_0.csv -1 0
../all_data/4-11/20130411-14_25_44.csv -1 0
../all_data/4-11/20130411-14_26_26.csv -1 0
../all_data/4-11/20130411-14_27_14.csv -1 0
../all_data/4-11/20130411-14_34_56.csv 1 1
../all_data/4-11/20130411-14_36_16.csv 1 1
../all_data/4-11/20130411-14_36_55.csv 1 1
../all_data/4-11/20130411-14_37_34.csv 1 1
../all_data/4-11/20130411-14_38_18.csv 1 1
../all_data/4-11/20130411-14_38_57.csv 1 1
../all_data/4-11/20130411-14_39_40.csv 1 1
../all_data/4-11/20130411-14_41_49.csv 1 0
../all_data/4-11/20130411-14_41_5.csv 1 0
../all_data/4-11/20130411-14_42_34.csv 1 0
../all_data/4-11/20130411-14_44_53.csv 1 0
../all_data/4-11/20130411-14_44_7.csv 1 0
../all_data/4-11/20130411-14_45_36.csv 1 0
../all_data/4-11/20130411-14_46_44.csv 1 0
../all_data/4-11/20130411-14_50_37.csv 2 1
../all_data/4-11/20130411-14_51_17.csv 2 1
../all_data/4-11/20130411-14_51_58.csv 2 1
../all_data/4-11/20130411-14_52_43.csv 2 1
../all_data/4-11/20130411-14_53_22.csv 2 1
../all_data/4-11/20130411-14_54_17.csv 2 1
../all_data/4-11/20130411-14_55_0.csv 2 1
../all_data/4-11/20130411-14_56_34.csv 2 0
../all_data/4-11/20130411-14_57_17.csv 2 0
../all_data/4-11/20130411-14_58_5.csv 2 0
../all_data/4-11/20130411-14_58_50.csv 2 0
../all_data/4-11/20130411-14_59_32.csv 2 0
../all_data/4-11/20130411-15_0_15.csv 2 0
../all_data/4-11/20130411-15_0_57.csv 2 0
../all_data/4-11/20130411-15_10_29.csv 3 1
../all_data/4-11/20130411-15_11_12.csv 3 1
../all_data/4-11/20130411-15_11_56.csv 3 1
../all_data/4-11/20130411-15_12_36.csv 3 1
../all_data/4-11/20130411-15_13_22.csv 3 1
../all_data/4-11/20130411-15_14_28.csv 3 0
../all_data/4-11/20130411-15_15_12.csv 3 0
../all_data/4-11/20130411-15_16_2.csv 3 0
../all_data/4-11/20130411-15_16_49.csv 3 0
../all_data/4-11/20130411-15_17_37.csv 3 0
../all_data/4-11/20130411-15_18_30.csv 3 0
../all_data/4-11/20130411-15_19_50.csv 3 0
../all_data/4-11/20130411-15_27_23.csv 4 1
../all_data/4-11/20130411-15_28_18.csv 4 1
../all_data/4-11/20130411-15_29_19.csv 4 1
../all_data/4-11/20130411-15_30_31.csv 4 1
../all_data/4-11/20130411-15_31_27.csv 4 1
../all_data/4-11/20130411-15_32_22.csv 4 1
../all_data/4-11/20130411-15_36_19.csv 4 0
../all_data/4-11/20130411-15_37_19.csv 4 0
../all_data/4-11/20130411-15_38_50.csv 4 0
../all_data/4-11/20130411-15_40_20.csv 4 0
../all_data/4-11/20130411-15_41_30.csv 4 0
../all_data/4-11/20130411-15_42_49.csv 4 0
../all_data/4-11/20130411-15_49_45.csv 5 1
../all_data/4-11/20130411-15_50_38.csv 5 1
../all_data/4-11/20130411-15_51_36.csv 5 1
../all_data/4-11/20130411-15_52_38.csv 5 1
../all_data/4-11/20130411-15_53_35.csv 5 1
../all_data/4-11/20130411-15_54_30.csv 5 1
../all_data/4-11/20130411-15_55_47.csv 5 1
../all_data/4-11/20130411-15_58_45.csv 5 0
../all_data/4-11/20130411-15_59_52.csv 5 0
../all_data/4-11/20130411-15_8_29.csv 6 1
../all_data/4-11/20130411-15_9_46.csv 6 1
../all_data/4-11/20130411-15_9_6.csv 6 1
../all_data/4-11/20130411-16_1_4.csv 6 0
../all_data/4-11/20130411-16_2_24.csv 6 0
../all_data/4-11/20130411-16_3_32.csv 6 0
../all_data/4-11/20130411-16_4_25.csv 6 0
