,CH1,CH2
Second,Volt,Volt
-5.60000e-02,2.72e-01,-3.80e+00, 
-5.58535e-02,2.72e-01,-3.80e+00, 
-5.57070e-02,2.72e-01,-3.80e+00, 
-5.55605e-02,2.72e-01,-3.80e+00, 
-5.54141e-02,2.72e-01,-3.80e+00, 
-5.52676e-02,2.71e-01,-3.80e+00, 
-5.51211e-02,2.71e-01,-3.80e+00, 
-5.49746e-02,2.71e-01,-3.80e+00, 
-5.48281e-02,2.71e-01,-3.80e+00, 
-5.46817e-02,2.71e-01,-3.60e+00, 
-5.45352e-02,2.71e-01,-3.60e+00, 
-5.43886e-02,2.71e-01,-3.60e+00, 
-5.42422e-02,2.71e-01,-3.40e+00, 
-5.40957e-02,2.71e-01,-3.40e+00, 
-5.39492e-02,2.71e-01,-3.40e+00, 
-5.38027e-02,2.71e-01,-3.20e+00, 
-5.36562e-02,2.71e-01,-3.20e+00, 
-5.35098e-02,2.71e-01,-3.20e+00, 
-5.33633e-02,2.71e-01,-3.20e+00, 
-5.32168e-02,2.71e-01,-3.00e+00, 
-5.30703e-02,2.71e-01,-3.00e+00, 
-5.29238e-02,2.71e-01,-2.80e+00, 
-5.27773e-02,2.71e-01,-2.80e+00, 
-5.26308e-02,2.71e-01,-2.80e+00, 
-5.24844e-02,2.71e-01,-2.60e+00, 
-5.23379e-02,2.71e-01,-2.60e+00, 
-5.21914e-02,2.71e-01,-2.40e+00, 
-5.20449e-02,2.71e-01,-2.40e+00, 
-5.18984e-02,2.71e-01,-2.40e+00, 
-5.17520e-02,2.71e-01,-2.40e+00, 
-5.16055e-02,2.72e-01,-2.20e+00, 
-5.14590e-02,2.73e-01,-2.20e+00, 
-5.13125e-02,2.73e-01,-2.00e+00, 
-5.11660e-02,2.74e-01,-2.00e+00, 
-5.10195e-02,2.75e-01,-2.00e+00, 
-5.08730e-02,2.76e-01,-1.80e+00, 
-5.07265e-02,2.77e-01,-1.80e+00, 
-5.05801e-02,2.78e-01,-1.80e+00, 
-5.04336e-02,2.79e-01,-1.80e+00, 
-5.02871e-02,2.79e-01,-1.60e+00, 
-5.01406e-02,2.80e-01,-1.60e+00, 
-4.99941e-02,2.81e-01,-1.40e+00, 
-4.98477e-02,2.82e-01,-1.40e+00, 
-4.97012e-02,2.83e-01,-1.40e+00, 
-4.95547e-02,2.84e-01,-1.20e+00, 
-4.94082e-02,2.85e-01,-1.20e+00, 
-4.92617e-02,2.86e-01,-1.00e+00, 
-4.91152e-02,2.87e-01,-1.00e+00, 
-4.89687e-02,2.88e-01,-1.00e+00, 
-4.88223e-02,2.88e-01,-1.00e+00, 
-4.86758e-02,2.89e-01,-1.00e+00, 
-4.85293e-02,2.90e-01,-8.00e-01, 
-4.83828e-02,2.90e-01,-8.00e-01, 
