,CH1,CH3,CH4
Second,Volt,Volt,Volt
-1.88000e-01,2.60e-01,-1.60e+00,3.14e-01, 
-1.87854e-01,2.60e-01,-1.60e+00,3.14e-01, 
-1.87707e-01,2.60e-01,-1.60e+00,3.14e-01, 
-1.87561e-01,2.60e-01,-1.60e+00,3.14e-01, 
-1.87414e-01,2.60e-01,-1.60e+00,3.14e-01, 
-1.87268e-01,2.60e-01,-1.20e+00,3.15e-01, 
-1.87121e-01,2.60e-01,-1.20e+00,3.14e-01, 
-1.86975e-01,2.60e-01,-1.20e+00,3.14e-01, 
-1.86828e-01,2.60e-01,-1.20e+00,3.14e-01, 
-1.86682e-01,2.60e-01,-1.20e+00,3.14e-01, 
-1.86535e-01,2.60e-01,-1.20e+00,3.14e-01, 
-1.86389e-01,2.60e-01,-1.20e+00,3.14e-01, 
-1.86242e-01,2.60e-01,-1.20e+00,3.14e-01, 
-1.86096e-01,2.60e-01,-1.20e+00,3.14e-01, 
-1.85949e-01,2.60e-01,-1.20e+00,3.14e-01, 
-1.85803e-01,2.60e-01,-1.20e+00,3.14e-01, 
-1.85656e-01,2.60e-01,-1.20e+00,3.14e-01, 
-1.85510e-01,2.60e-01,-1.20e+00,3.14e-01, 
-1.85363e-01,2.60e-01,-1.20e+00,3.14e-01, 
-1.85217e-01,2.60e-01,-1.20e+00,3.14e-01, 
-1.85070e-01,2.60e-01,-1.20e+00,3.14e-01, 
-1.84924e-01,2.60e-01,-1.20e+00,3.14e-01, 
-1.84777e-01,2.59e-01,-1.20e+00,3.14e-01, 
-1.84631e-01,2.60e-01,-1.20e+00,3.14e-01, 
-1.84484e-01,2.60e-01,-1.20e+00,3.14e-01, 
-1.84338e-01,2.60e-01,-1.20e+00,3.14e-01, 
-1.84191e-01,2.60e-01,-1.20e+00,3.14e-01, 
-1.84045e-01,2.60e-01,-1.20e+00,3.14e-01, 
-1.83898e-01,2.60e-01,-1.20e+00,3.14e-01, 
-1.83752e-01,2.60e-01,-1.20e+00,3.14e-01, 
-1.83605e-01,2.60e-01,-1.20e+00,3.14e-01, 
-1.83459e-01,2.60e-01,-1.20e+00,3.14e-01, 
-1.83313e-01,2.60e-01,-1.20e+00,3.14e-01, 
-1.83166e-01,2.60e-01,-1.20e+00,3.14e-01, 
-1.83020e-01,2.60e-01,-1.20e+00,3.14e-01, 
-1.82873e-01,2.60e-01,-1.20e+00,3.14e-01, 
-1.82727e-01,2.60e-01,-1.20e+00,3.13e-01, 
-1.82580e-01,2.60e-01,-1.20e+00,3.14e-01, 
-1.82434e-01,2.60e-01,-1.20e+00,3.13e-01, 
-1.82287e-01,2.60e-01,-1.20e+00,3.14e-01, 
-1.82141e-01,2.60e-01,-1.20e+00,3.13e-01, 
-1.81994e-01,2.60e-01,-1.20e+00,3.13e-01, 
-1.81848e-01,2.60e-01,-1.20e+00,3.14e-01, 
-1.81701e-01,2.60e-01,-1.20e+00,3.14e-01, 
-1.81555e-01,2.60e-01,-1.20e+00,3.13e-01, 
-1.81408e-01,2.60e-01,-1.20e+00,3.13e-01, 
-1.81262e-01,2.60e-01,-1.20e+00,3.13e-01, 
-1.81115e-01,2.60e-01,-1.20e+00,3.13e-01, 
-1.80969e-01,2.60e-01,-1.20e+00,3.13e-01, 
-1.80822e-01,2.60e-01,-1.20e+00,3.13e-01, 
-1.80676e-01,2.60e-01,-1.20e+00,3.13e-01, 
-1.80529e-01,2.60e-01,-1.20e+00,3.13e-01, 
-1.80383e-01,2.60e-01,-1.20e+00,3.13e-01, 
