Spectrum Name:,
Description:,
Student ID:,
Detector Used:,
Comments:,
Acquisition Mode:,extMoss
Mossbauer Dwell Time:,0.1 mSeconds
Elapsed Passes:,4000 
High Voltage:,1800
Conversion Gain:,2048
Coarse Gain:,8
Fine Gain:,1.77
ULD:,  45%
LLD:,  28%

Channel Data:
Chan,Dwell(mSec.),Counts
0,      0.10,16013
1,      0.20,15871
2,      0.30,15997
3,      0.40,16054
4,      0.50,15996
5,      0.60,15972
6,      0.70,15891
7,      0.80,15782
8,      0.90,15419
9,      1.00,14988
10,      1.10,14478
11,      1.20,14187
12,      1.30,13928
13,      1.40,13698
14,      1.50,13548
15,      1.60,12974
16,      1.70,11795
17,      1.80,9761
18,      1.90,8003
19,      2.00,7232
20,      2.10,6955
21,      2.20,6704
22,      2.30,6444
23,      2.40,6125
24,      2.50,5647
25,      2.60,5489
26,      2.70,5295
27,      2.80,5172
28,      2.90,4966
29,      3.00,4870
30,      3.10,4604
31,      3.20,4564
32,      3.30,4342
33,      3.40,4150
34,      3.50,3920
35,      3.60,3711
36,      3.70,3464
37,      3.80,3268
38,      3.90,3041
39,      4.00,2927
40,      4.10,2662
41,      4.20,2608
42,      4.30,2452
43,      4.40,2352
44,      4.50,2275
45,      4.60,2164
46,      4.70,2073
47,      4.80,1921
48,      4.90,1834
49,      5.00,1675
50,      5.10,1390
51,      5.20,1039
52,      5.30,589
53,      5.40,254
54,      5.50,817
55,      5.60,1324
56,      5.70,1043
57,      5.80,1245
58,      5.90,2046
59,      6.00,1818
60,      6.10,2082
61,      6.20,2107
62,      6.30,2231
63,      6.40,2263
64,      6.50,2284
65,      6.60,2352
66,      6.70,2413
67,      6.80,2480
68,      6.90,2611
69,      7.00,2711
70,      7.10,2763
71,      7.20,2946
72,      7.30,3004
73,      7.40,3120
74,      7.50,3200
75,      7.60,3222
76,      7.70,3377
77,      7.80,3545
78,      7.90,3594
79,      8.00,3709
80,      8.10,3788
81,      8.20,3843
82,      8.30,4020
83,      8.40,4048
84,      8.50,4092
85,      8.60,4154
86,      8.70,4251
87,      8.80,4284
88,      8.90,4382
89,      9.00,4423
90,      9.10,4494
91,      9.20,4504
92,      9.30,4633
93,      9.40,4750
94,      9.50,4781
95,      9.60,4771
96,      9.70,4874
97,      9.80,4953
98,      9.90,5032
99,     10.00,5143
100,     10.10,5142
101,     10.20,5116
102,     10.30,5221
103,     10.40,5267
104,     10.50,5276
105,     10.60,5341
106,     10.70,5247
107,     10.80,5265
108,     10.90,5371
109,     11.00,5429
110,     11.10,5435
111,     11.20,5366
112,     11.30,5321
113,     11.40,5357
114,     11.50,5325
115,     11.60,5281
116,     11.70,5358
117,     11.80,5474
118,     11.90,5576
119,     12.00,5655
120,     12.10,5832
121,     12.20,5962
122,     12.30,6150
123,     12.40,6204
124,     12.50,6515
125,     12.60,6840
126,     12.70,7642
127,     12.80,8297
128,     12.90,8669
129,     13.00,9879
130,     13.10,12168
131,     13.20,14770
132,     13.30,16826
133,     13.40,17529
134,     13.50,17848
135,     13.60,17883
136,     13.70,18056
137,     13.80,18035
138,     13.90,17902
139,     14.00,18046
140,     14.10,17924
141,     14.20,17402
142,     14.30,16555
143,     14.40,15221
144,     14.50,14027
145,     14.60,13176
146,     14.70,12771
147,     14.80,12719
148,     14.90,13155
149,     15.00,13732
150,     15.10,14817
151,     15.20,15644
152,     15.30,16453
153,     15.40,16846
154,     15.50,16992
155,     15.60,16934
156,     15.70,16931
157,     15.80,16776
158,     15.90,16541
159,     16.00,16415
160,     16.10,16269
161,     16.20,16117
162,     16.30,16168
163,     16.40,15960
164,     16.50,15933
165,     16.60,15856
166,     16.70,15831
167,     16.80,15630
168,     16.90,15604
169,     17.00,15414
170,     17.10,15443
171,     17.20,15297
172,     17.30,15148
173,     17.40,15215
174,     17.50,15072
175,     17.60,15004
176,     17.70,14886
177,     17.80,14957
178,     17.90,15028
179,     18.00,15007
180,     18.10,15073
181,     18.20,15072
182,     18.30,15041
183,     18.40,15128
184,     18.50,15076
185,     18.60,15131
186,     18.70,15140
187,     18.80,15220
188,     18.90,15265
189,     19.00,15206
190,     19.10,15387
191,     19.20,15367
192,     19.30,15331
193,     19.40,15465
194,     19.50,15453
195,     19.60,15512
196,     19.70,15524
197,     19.80,15626
198,     19.90,15531
199,     20.00,15628
200,     20.10,15555
201,     20.20,15632
202,     20.30,15474
203,     20.40,15561
204,     20.50,15476
205,     20.60,15584
206,     20.70,15582
207,     20.80,15610
208,     20.90,15605
209,     21.00,15501
210,     21.10,15536
211,     21.20,15513
