Spectrum Name:,
Description:,
Student ID:,
Detector Used:,
Comments:,
Acquisition Mode:,Mossbauer
Mossbauer Dwell Time:,0.1 mSeconds
Elapsed Passes:,4000 
High Voltage:,1800
Conversion Gain:,2048
Coarse Gain:,8
Fine Gain:,1.77
ULD:,  45%
LLD:,  28%

Channel Data:
Chan,Dwell(mSec.),Counts
0,      0.10,55
1,      0.20,57
2,      0.30,52
3,      0.40,58
4,      0.50,57
5,      0.60,58
6,      0.70,72
7,      0.80,46
8,      0.90,50
9,      1.00,42
10,      1.10,59
11,      1.20,45
12,      1.30,43
13,      1.40,69
14,      1.50,57
15,      1.60,54
16,      1.70,54
17,      1.80,67
18,      1.90,54
19,      2.00,53
20,      2.10,50
21,      2.20,52
22,      2.30,53
23,      2.40,38
24,      2.50,44
25,      2.60,32
26,      2.70,43
27,      2.80,58
28,      2.90,57
29,      3.00,60
30,      3.10,53
31,      3.20,65
32,      3.30,57
33,      3.40,51
34,      3.50,50
35,      3.60,55
36,      3.70,49
37,      3.80,35
38,      3.90,37
39,      4.00,71
40,      4.10,62
41,      4.20,61
42,      4.30,59
43,      4.40,48
44,      4.50,48
45,      4.60,50
46,      4.70,59
47,      4.80,61
48,      4.90,45
49,      5.00,44
50,      5.10,40
51,      5.20,64
52,      5.30,58
53,      5.40,47
54,      5.50,67
55,      5.60,60
56,      5.70,55
57,      5.80,57
58,      5.90,41
59,      6.00,45
60,      6.10,52
61,      6.20,52
62,      6.30,59
63,      6.40,56
64,      6.50,64
65,      6.60,49
66,      6.70,70
67,      6.80,55
68,      6.90,46
69,      7.00,41
70,      7.10,44
71,      7.20,35
72,      7.30,45
73,      7.40,49
74,      7.50,53
75,      7.60,45
76,      7.70,45
77,      7.80,51
78,      7.90,59
79,      8.00,55
80,      8.10,61
81,      8.20,58
82,      8.30,44
83,      8.40,33
84,      8.50,45
85,      8.60,64
86,      8.70,61
87,      8.80,60
88,      8.90,66
89,      9.00,64
90,      9.10,56
91,      9.20,59
92,      9.30,73
93,      9.40,55
94,      9.50,59
95,      9.60,62
96,      9.70,62
97,      9.80,61
98,      9.90,63
99,     10.00,62
100,     10.10,54
101,     10.20,74
102,     10.30,58
103,     10.40,59
104,     10.50,61
105,     10.60,54
106,     10.70,48
107,     10.80,69
108,     10.90,62
109,     11.00,74
110,     11.10,51
111,     11.20,61
112,     11.30,54
113,     11.40,52
114,     11.50,64
115,     11.60,66
116,     11.70,58
117,     11.80,56
118,     11.90,61
119,     12.00,72
120,     12.10,56
121,     12.20,63
122,     12.30,62
123,     12.40,59
124,     12.50,64
125,     12.60,57
126,     12.70,63
127,     12.80,60
128,     12.90,70
129,     13.00,48
130,     13.10,55
131,     13.20,52
132,     13.30,56
133,     13.40,69
134,     13.50,60
135,     13.60,53
136,     13.70,59
137,     13.80,48
138,     13.90,54
139,     14.00,49
140,     14.10,50
141,     14.20,59
142,     14.30,40
143,     14.40,53
144,     14.50,52
145,     14.60,54
146,     14.70,46
147,     14.80,55
148,     14.90,72
149,     15.00,68
150,     15.10,51
151,     15.20,58
152,     15.30,70
153,     15.40,54
154,     15.50,62
155,     15.60,62
156,     15.70,54
157,     15.80,46
158,     15.90,62
159,     16.00,61
160,     16.10,63
161,     16.20,58
162,     16.30,69
163,     16.40,40
164,     16.50,65
165,     16.60,61
166,     16.70,63
167,     16.80,54
168,     16.90,55
169,     17.00,58
170,     17.10,64
171,     17.20,58
172,     17.30,48
173,     17.40,58
174,     17.50,63
175,     17.60,65
176,     17.70,56
177,     17.80,62
178,     17.90,60
179,     18.00,57
180,     18.10,50
181,     18.20,51
182,     18.30,55
183,     18.40,62
184,     18.50,47
185,     18.60,50
186,     18.70,59
187,     18.80,70
188,     18.90,64
189,     19.00,51
190,     19.10,57
191,     19.20,54
192,     19.30,57
193,     19.40,56
194,     19.50,58
195,     19.60,61
196,     19.70,71
197,     19.80,71
198,     19.90,56
199,     20.00,53
200,     20.10,56
201,     20.20,60
202,     20.30,55
203,     20.40,68
204,     20.50,55
205,     20.60,54
206,     20.70,54
207,     20.80,40
208,     20.90,74
209,     21.00,66
210,     21.10,69
211,     21.20,48
212,     21.30,48
213,     21.40,54
