Spectrum Name:,
Description:,
Student ID:,
Detector Used:,
Comments:,
Acquisition Mode:,Mossbauer
Mossbauer Dwell Time:,0.1 mSeconds
Elapsed Passes:,4000 
High Voltage:,1800
Conversion Gain:,2048
Coarse Gain:,8
Fine Gain:,1.77
ULD:,  45%
LLD:,  28%

Channel Data:
Chan,Dwell(mSec.),Counts
0,      0.10,88
1,      0.20,101
2,      0.30,129
3,      0.40,88
4,      0.50,90
5,      0.60,86
6,      0.70,78
7,      0.80,87
8,      0.90,93
9,      1.00,100
10,      1.10,105
11,      1.20,106
12,      1.30,104
13,      1.40,118
14,      1.50,86
15,      1.60,89
16,      1.70,96
17,      1.80,107
18,      1.90,117
19,      2.00,125
20,      2.10,101
21,      2.20,116
22,      2.30,98
23,      2.40,82
24,      2.50,80
25,      2.60,96
26,      2.70,86
27,      2.80,94
28,      2.90,114
29,      3.00,107
30,      3.10,89
31,      3.20,107
32,      3.30,92
33,      3.40,101
34,      3.50,93
35,      3.60,104
36,      3.70,94
37,      3.80,117
38,      3.90,125
39,      4.00,99
40,      4.10,122
41,      4.20,83
42,      4.30,98
43,      4.40,86
44,      4.50,86
45,      4.60,82
46,      4.70,96
47,      4.80,83
48,      4.90,117
49,      5.00,88
50,      5.10,109
51,      5.20,110
52,      5.30,92
53,      5.40,95
54,      5.50,105
55,      5.60,112
56,      5.70,94
57,      5.80,108
58,      5.90,84
59,      6.00,89
60,      6.10,100
61,      6.20,99
62,      6.30,82
63,      6.40,119
64,      6.50,110
65,      6.60,110
66,      6.70,98
67,      6.80,118
68,      6.90,102
69,      7.00,83
70,      7.10,132
71,      7.20,111
72,      7.30,109
73,      7.40,104
74,      7.50,90
75,      7.60,93
76,      7.70,90
77,      7.80,94
78,      7.90,81
79,      8.00,94
80,      8.10,110
81,      8.20,108
82,      8.30,114
83,      8.40,73
84,      8.50,85
85,      8.60,106
86,      8.70,92
87,      8.80,90
88,      8.90,97
89,      9.00,117
90,      9.10,96
91,      9.20,98
92,      9.30,110
93,      9.40,96
94,      9.50,106
95,      9.60,97
96,      9.70,80
97,      9.80,89
98,      9.90,84
99,     10.00,78
100,     10.10,95
101,     10.20,81
102,     10.30,112
103,     10.40,106
104,     10.50,117
105,     10.60,121
106,     10.70,113
107,     10.80,104
108,     10.90,106
109,     11.00,103
110,     11.10,96
111,     11.20,103
112,     11.30,103
113,     11.40,122
114,     11.50,110
115,     11.60,94
116,     11.70,95
117,     11.80,94
118,     11.90,106
119,     12.00,80
120,     12.10,101
121,     12.20,92
122,     12.30,99
123,     12.40,117
124,     12.50,95
125,     12.60,93
126,     12.70,105
127,     12.80,121
128,     12.90,129
129,     13.00,111
130,     13.10,103
131,     13.20,103
132,     13.30,114
133,     13.40,110
134,     13.50,111
135,     13.60,88
136,     13.70,99
137,     13.80,103
138,     13.90,101
139,     14.00,110
140,     14.10,109
141,     14.20,104
142,     14.30,87
143,     14.40,106
144,     14.50,110
145,     14.60,115
146,     14.70,91
147,     14.80,126
148,     14.90,126
149,     15.00,117
150,     15.10,99
151,     15.20,96
152,     15.30,104
153,     15.40,106
154,     15.50,103
155,     15.60,105
156,     15.70,116
157,     15.80,109
158,     15.90,96
159,     16.00,98
160,     16.10,107
161,     16.20,102
162,     16.30,100
163,     16.40,98
164,     16.50,114
165,     16.60,106
166,     16.70,102
167,     16.80,96
168,     16.90,94
169,     17.00,107
170,     17.10,91
171,     17.20,106
172,     17.30,99
173,     17.40,100
174,     17.50,103
