Spectrum Name:,
Description:,
Student ID:,
Detector Used:,
Comments:,
Acquisition Mode:,extMoss
Mossbauer Dwell Time:,0.1 mSeconds
Elapsed Passes:,4000 
High Voltage:,0
Conversion Gain:,2048
Coarse Gain:,8
Fine Gain:,1.77
ULD:,  45%
LLD:,  28%

Channel Data:
Chan,Dwell(mSec.),Counts
0,      0.10,15632
1,      0.20,15589
2,      0.30,15751
3,      0.40,15616
4,      0.50,15663
5,      0.60,15597
6,      0.70,15687
7,      0.80,15618
8,      0.90,15450
9,      1.00,15366
10,      1.10,15253
11,      1.20,15178
12,      1.30,14970
13,      1.40,14977
14,      1.50,14673
15,      1.60,14554
16,      1.70,14196
17,      1.80,14188
18,      1.90,13931
19,      2.00,13717
20,      2.10,13273
21,      2.20,12912
22,      2.30,12616
23,      2.40,12364
24,      2.50,12022
25,      2.60,11684
26,      2.70,11253
27,      2.80,10940
28,      2.90,10565
29,      3.00,10231
30,      3.10,9824
31,      3.20,9411
32,      3.30,9014
33,      3.40,8522
34,      3.50,8140
35,      3.60,7678
36,      3.70,7197
37,      3.80,6672
38,      3.90,6344
39,      4.00,5856
40,      4.10,5386
41,      4.20,5004
42,      4.30,4462
43,      4.40,4140
44,      4.50,3667
45,      4.60,3229
46,      4.70,2812
47,      4.80,2263
48,      4.90,1924
49,      5.00,1435
50,      5.10,1018
51,      5.20,629
52,      5.30,572
53,      5.40,1292
54,      5.50,1245
55,      5.60,1091
56,      5.70,1441
57,      5.80,1928
58,      5.90,2289
59,      6.00,2712
60,      6.10,3015
61,      6.20,3415
62,      6.30,3688
63,      6.40,4036
64,      6.50,4342
65,      6.60,4639
66,      6.70,5023
67,      6.80,5203
68,      6.90,5445
69,      7.00,5739
70,      7.10,5969
71,      7.20,6259
72,      7.30,6578
73,      7.40,6798
74,      7.50,7091
75,      7.60,7269
76,      7.70,7529
77,      7.80,7792
78,      7.90,8035
79,      8.00,8259
80,      8.10,8541
81,      8.20,8726
82,      8.30,9020
83,      8.40,9177
84,      8.50,9460
85,      8.60,9706
86,      8.70,10003
87,      8.80,10242
88,      8.90,10511
89,      9.00,10882
90,      9.10,11040
91,      9.20,11340
92,      9.30,11542
93,      9.40,11827
94,      9.50,12073
95,      9.60,12393
96,      9.70,12543
97,      9.80,12986
98,      9.90,13222
99,     10.00,13538
100,     10.10,13787
101,     10.20,14073
102,     10.30,14363
103,     10.40,14739
104,     10.50,15046
105,     10.60,15183
106,     10.70,15593
107,     10.80,15759
108,     10.90,16054
109,     11.00,16396
110,     11.10,16724
111,     11.20,17103
112,     11.30,17265
113,     11.40,17693
114,     11.50,17911
115,     11.60,18211
116,     11.70,18278
117,     11.80,18484
118,     11.90,18726
119,     12.00,18917
120,     12.10,19059
121,     12.20,19019
122,     12.30,19197
123,     12.40,19223
124,     12.50,19446
125,     12.60,19572
126,     12.70,19566
127,     12.80,19557
128,     12.90,19450
129,     13.00,19638
130,     13.10,19462
131,     13.20,19574
132,     13.30,19396
133,     13.40,19213
134,     13.50,19298
135,     13.60,19051
136,     13.70,19060
137,     13.80,19029
138,     13.90,18908
139,     14.00,18793
140,     14.10,18618
141,     14.20,18418
142,     14.30,18293
143,     14.40,18180
144,     14.50,17864
145,     14.60,17860
146,     14.70,17547
147,     14.80,17477
148,     14.90,17381
149,     15.00,17071
150,     15.10,17100
151,     15.20,16860
152,     15.30,16688
153,     15.40,16636
154,     15.50,16511
155,     15.60,16318
156,     15.70,16140
157,     15.80,16139
158,     15.90,15982
159,     16.00,15917
160,     16.10,15716
161,     16.20,15684
162,     16.30,15592
163,     16.40,15577
164,     16.50,15400
165,     16.60,15401
166,     16.70,15377
167,     16.80,15298
168,     16.90,15276
169,     17.00,15142
170,     17.10,15120
171,     17.20,15114
172,     17.30,15115
173,     17.40,15017
174,     17.50,15156
175,     17.60,15145
176,     17.70,15034
177,     17.80,15247
178,     17.90,15201
179,     18.00,15208
180,     18.10,15255
181,     18.20,15218
182,     18.30,15215
183,     18.40,15316
184,     18.50,15302
185,     18.60,15251
186,     18.70,15407
187,     18.80,15419
188,     18.90,15342
189,     19.00,15509
190,     19.10,15394
191,     19.20,15556
192,     19.30,15411
193,     19.40,15481
194,     19.50,15499
195,     19.60,15587
196,     19.70,15475
197,     19.80,15412
198,     19.90,15413
199,     20.00,15432
200,     20.10,15479
201,     20.20,15419
202,     20.30,15366
203,     20.40,15399
204,     20.50,15337
205,     20.60,15239
206,     20.70,15237
207,     20.80,15161
208,     20.90,15125
209,     21.00,15078
210,     21.10,15117
211,     21.20,14870
212,     21.30,14907
213,     21.40,14737
214,     21.50,14791
215,     21.60,14767
216,     21.70,14768
217,     21.80,14699
218,     21.90,14638
219,     22.00,14600
220,     22.10,14507
221,     22.20,14491
222,     22.30,14430
223,     22.40,14350
224,     22.50,14222
225,     22.60,14381
226,     22.70,14358
227,     22.80,14369
228,     22.90,14293
229,     23.00,14179
230,     23.10,14379
231,     23.20,14259
232,     23.30,14266
233,     23.40,14287
234,     23.50,14243
235,     23.60,14219
236,     23.70,14215
237,     23.80,14208
238,     23.90,14162
239,     24.00,14341
240,     24.10,14166
241,     24.20,14230
242,     24.30,14448
243,     24.40,14441
244,     24.50,14517
245,     24.60,14478
246,     24.70,14471
247,     24.80,14487
248,     24.90,14500
249,     25.00,14462
250,     25.10,14412
251,     25.20,14485
252,     25.30,14578
253,     25.40,14554
254,     25.50,14523
255,     25.60,14585
256,     25.70,14527
257,     25.80,14522
258,     25.90,14581
259,     26.00,14612
260,     26.10,14584
261,     26.20,14453
262,     26.30,14499
263,     26.40,14502
264,     26.50,14401
265,     26.60,14475
266,     26.70,14377
267,     26.80,14389
268,     26.90,14332
269,     27.00,14348
270,     27.10,14330
271,     27.20,14274
272,     27.30,14278
273,     27.40,14036
274,     27.50,14097
275,     27.60,14069
276,     27.70,13938
277,     27.80,13940
278,     27.90,13949
279,     28.00,13934
280,     28.10,13850
281,     28.20,13764
282,     28.30,13708
283,     28.40,13705
284,     28.50,13713
285,     28.60,13565
286,     28.70,13468
287,     28.80,13476
288,     28.90,13379
289,     29.00,13358
290,     29.10,13346
291,     29.20,13323
292,     29.30,13197
293,     29.40,13098
294,     29.50,13089
295,     29.60,13077
296,     29.70,13002
297,     29.80,13066
298,     29.90,12931
299,     30.00,13071
300,     30.10,12842
301,     30.20,12964
302,     30.30,12904
303,     30.40,12844
304,     30.50,12805
305,     30.60,12817
306,     30.70,12834
307,     30.80,12841
308,     30.90,12775
309,     31.00,12692
310,     31.10,12773
311,     31.20,12730
312,     31.30,12749
313,     31.40,12813
314,     31.50,12829
315,     31.60,12804
316,     31.70,12879
317,     31.80,12865
318,     31.90,12941
319,     32.00,12967
320,     32.10,12977
321,     32.20,13085
322,     32.30,13050
323,     32.40,12987
324,     32.50,13080
325,     32.60,13090
326,     32.70,13187
327,     32.80,13174
328,     32.90,13226
329,     33.00,13274
330,     33.10,13183
331,     33.20,13353
332,     33.30,13397
333,     33.40,13443
334,     33.50,13414
335,     33.60,13469
336,     33.70,13389
337,     33.80,13456
338,     33.90,13531
339,     34.00,13584
340,     34.10,13367
341,     34.20,13460
342,     34.30,13475
343,     34.40,13442
344,     34.50,13414
345,     34.60,13370
346,     34.70,13301
347,     34.80,13213
348,     34.90,13208
349,     35.00,13174
