Spectrum Name:,
Description:,
Student ID:,
Detector Used:,
Comments:,
Acquisition Mode:,Mossbauer
Mossbauer Dwell Time:,0.1 mSeconds
Elapsed Passes:,27000 
High Voltage:,1800
Conversion Gain:,2048
Coarse Gain:,8
Fine Gain:,1.77
ULD:,  45%
LLD:,  28%

Channel Data:
Chan,Dwell(mSec.),Counts
0,      0.10,155
1,      0.20,134
2,      0.30,149
3,      0.40,160
4,      0.50,168
5,      0.60,147
6,      0.70,170
7,      0.80,157
8,      0.90,136
9,      1.00,183
10,      1.10,146
11,      1.20,159
12,      1.30,163
13,      1.40,155
14,      1.50,148
15,      1.60,147
16,      1.70,162
17,      1.80,172
18,      1.90,146
19,      2.00,166
20,      2.10,166
21,      2.20,171
22,      2.30,175
23,      2.40,148
24,      2.50,174
25,      2.60,155
26,      2.70,127
27,      2.80,134
28,      2.90,166
29,      3.00,164
30,      3.10,152
31,      3.20,158
32,      3.30,160
33,      3.40,151
34,      3.50,139
35,      3.60,163
36,      3.70,149
37,      3.80,163
38,      3.90,183
39,      4.00,162
40,      4.10,146
41,      4.20,169
42,      4.30,145
43,      4.40,144
44,      4.50,157
45,      4.60,166
46,      4.70,155
47,      4.80,166
48,      4.90,160
49,      5.00,141
50,      5.10,156
51,      5.20,119
52,      5.30,136
53,      5.40,155
54,      5.50,125
55,      5.60,130
56,      5.70,161
57,      5.80,144
58,      5.90,141
59,      6.00,184
60,      6.10,173
61,      6.20,169
62,      6.30,151
63,      6.40,152
64,      6.50,171
65,      6.60,148
66,      6.70,162
67,      6.80,172
68,      6.90,154
69,      7.00,155
70,      7.10,169
71,      7.20,175
72,      7.30,170
73,      7.40,164
74,      7.50,149
75,      7.60,171
76,      7.70,144
77,      7.80,175
78,      7.90,142
79,      8.00,160
80,      8.10,156
81,      8.20,164
82,      8.30,160
83,      8.40,175
84,      8.50,161
85,      8.60,171
86,      8.70,147
87,      8.80,149
88,      8.90,150
89,      9.00,146
90,      9.10,168
91,      9.20,155
92,      9.30,179
93,      9.40,154
94,      9.50,169
95,      9.60,150
96,      9.70,171
97,      9.80,175
98,      9.90,158
99,     10.00,143
100,     10.10,159
101,     10.20,159
102,     10.30,148
103,     10.40,153
104,     10.50,178
105,     10.60,141
106,     10.70,155
107,     10.80,149
108,     10.90,147
109,     11.00,155
110,     11.10,169
111,     11.20,142
112,     11.30,155
113,     11.40,157
114,     11.50,168
115,     11.60,161
116,     11.70,172
117,     11.80,183
118,     11.90,144
119,     12.00,158
120,     12.10,153
121,     12.20,156
122,     12.30,182
123,     12.40,161
124,     12.50,160
125,     12.60,169
126,     12.70,136
127,     12.80,167
128,     12.90,168
129,     13.00,149
130,     13.10,162
131,     13.20,157
132,     13.30,149
133,     13.40,155
134,     13.50,165
135,     13.60,157
136,     13.70,163
137,     13.80,143
138,     13.90,154
139,     14.00,141
140,     14.10,158
141,     14.20,149
142,     14.30,171
143,     14.40,157
144,     14.50,165
145,     14.60,177
146,     14.70,172
147,     14.80,148
148,     14.90,167
149,     15.00,143
150,     15.10,160
151,     15.20,166
152,     15.30,166
153,     15.40,154
154,     15.50,185
155,     15.60,140
156,     15.70,150
157,     15.80,160
158,     15.90,162
159,     16.00,171
160,     16.10,163
161,     16.20,167
162,     16.30,154
163,     16.40,162
164,     16.50,138
165,     16.60,176
166,     16.70,158
167,     16.80,157
168,     16.90,167
169,     17.00,157
170,     17.10,137
171,     17.20,160
172,     17.30,152
173,     17.40,175
174,     17.50,160
175,     17.60,163
176,     17.70,184
177,     17.80,154
178,     17.90,171
179,     18.00,160
180,     18.10,138
181,     18.20,158
182,     18.30,173
183,     18.40,147
184,     18.50,165
185,     18.60,166
186,     18.70,187
187,     18.80,176
188,     18.90,187
189,     19.00,144
190,     19.10,140
191,     19.20,150
192,     19.30,172
193,     19.40,167
194,     19.50,133
195,     19.60,133
196,     19.70,151
197,     19.80,165
198,     19.90,166
199,     20.00,150
200,     20.10,145
201,     20.20,144
202,     20.30,153
203,     20.40,154
204,     20.50,159
205,     20.60,141
206,     20.70,164
207,     20.80,161
208,     20.90,174
209,     21.00,142
210,     21.10,157
211,     21.20,153
212,     21.30,170
213,     21.40,173
214,     21.50,153
215,     21.60,154
216,     21.70,158
217,     21.80,164
218,     21.90,154
219,     22.00,165
220,     22.10,133
221,     22.20,144
222,     22.30,146
223,     22.40,161
224,     22.50,160
225,     22.60,147
226,     22.70,156
227,     22.80,160
228,     22.90,157
229,     23.00,134
230,     23.10,169
231,     23.20,138
232,     23.30,155
233,     23.40,166
234,     23.50,150
235,     23.60,132
236,     23.70,167
237,     23.80,149
238,     23.90,169
239,     24.00,165
240,     24.10,135
241,     24.20,157
242,     24.30,167
243,     24.40,159
244,     24.50,156
245,     24.60,162
246,     24.70,156
247,     24.80,157
248,     24.90,172
249,     25.00,170
250,     25.10,145
251,     25.20,159
252,     25.30,168
253,     25.40,151
254,     25.50,126
255,     25.60,167
256,     25.70,164
257,     25.80,173
258,     25.90,174
259,     26.00,157
260,     26.10,180
261,     26.20,160
262,     26.30,141
263,     26.40,175
264,     26.50,185
265,     26.60,163
266,     26.70,158
267,     26.80,153
268,     26.90,166
269,     27.00,158
270,     27.10,155
271,     27.20,174
272,     27.30,137
273,     27.40,183
274,     27.50,154
275,     27.60,169
276,     27.70,138
277,     27.80,166
278,     27.90,160
279,     28.00,155
280,     28.10,171
281,     28.20,172
282,     28.30,159
283,     28.40,159
284,     28.50,160
285,     28.60,149
286,     28.70,139
287,     28.80,145
288,     28.90,158
289,     29.00,158
290,     29.10,140
291,     29.20,161
292,     29.30,138
293,     29.40,149
294,     29.50,146
295,     29.60,147
296,     29.70,155
297,     29.80,194
298,     29.90,164
299,     30.00,150
300,     30.10,157
301,     30.20,162
302,     30.30,157
303,     30.40,169
304,     30.50,164
305,     30.60,166
306,     30.70,143
307,     30.80,163
308,     30.90,144
309,     31.00,150
310,     31.10,139
311,     31.20,147
312,     31.30,160
313,     31.40,151
314,     31.50,140
315,     31.60,173
316,     31.70,155
317,     31.80,153
318,     31.90,143
319,     32.00,141
320,     32.10,166
321,     32.20,162
322,     32.30,151
323,     32.40,146
324,     32.50,153
325,     32.60,173
326,     32.70,155
327,     32.80,158
328,     32.90,158
329,     33.00,168
330,     33.10,143
331,     33.20,149
332,     33.30,160
333,     33.40,157
334,     33.50,167
335,     33.60,167
336,     33.70,142
337,     33.80,159
338,     33.90,165
339,     34.00,163
340,     34.10,134
341,     34.20,145
342,     34.30,177
343,     34.40,168
344,     34.50,172
345,     34.60,158
346,     34.70,152
347,     34.80,155
348,     34.90,146
349,     35.00,150
350,     35.10,172
351,     35.20,170
352,     35.30,154
353,     35.40,174
354,     35.50,151
355,     35.60,178
356,     35.70,147
357,     35.80,154
358,     35.90,164
359,     36.00,183
360,     36.10,149
361,     36.20,138
362,     36.30,128
363,     36.40,136
364,     36.50,166
365,     36.60,165
366,     36.70,172
367,     36.80,164
368,     36.90,130
369,     37.00,164
370,     37.10,158
371,     37.20,176
372,     37.30,169
373,     37.40,153
374,     37.50,159
375,     37.60,156
376,     37.70,132
377,     37.80,168
378,     37.90,149
379,     38.00,171
380,     38.10,129
381,     38.20,173
382,     38.30,172
383,     38.40,167
384,     38.50,150
385,     38.60,157
386,     38.70,195
387,     38.80,165
388,     38.90,135
389,     39.00,160
390,     39.10,153
391,     39.20,147
392,     39.30,158
393,     39.40,174
394,     39.50,140
395,     39.60,162
396,     39.70,162
397,     39.80,160
398,     39.90,166
399,     40.00,171
400,     40.10,147
401,     40.20,161
402,     40.30,161
403,     40.40,160
404,     40.50,134
405,     40.60,157
406,     40.70,150
407,     40.80,155
408,     40.90,175
409,     41.00,173
410,     41.10,151
411,     41.20,158
412,     41.30,143
413,     41.40,160
414,     41.50,133
415,     41.60,153
416,     41.70,162
417,     41.80,128
418,     41.90,150
419,     42.00,157
420,     42.10,139
421,     42.20,164
422,     42.30,137
423,     42.40,160
424,     42.50,159
425,     42.60,154
426,     42.70,156
427,     42.80,170
428,     42.90,167
429,     43.00,151
430,     43.10,149
431,     43.20,166
432,     43.30,158
433,     43.40,162
434,     43.50,173
435,     43.60,149
436,     43.70,162
437,     43.80,135
438,     43.90,155
439,     44.00,163
440,     44.10,136
441,     44.20,147
442,     44.30,142
443,     44.40,122
444,     44.50,150
445,     44.60,150
446,     44.70,149
447,     44.80,154
448,     44.90,151
449,     45.00,158
450,     45.10,155
451,     45.20,169
452,     45.30,144
453,     45.40,164
454,     45.50,154
455,     45.60,167
456,     45.70,191
457,     45.80,165
458,     45.90,163
459,     46.00,165
460,     46.10,141
461,     46.20,172
462,     46.30,141
463,     46.40,156
464,     46.50,153
465,     46.60,155
466,     46.70,162
467,     46.80,145
468,     46.90,140
469,     47.00,150
470,     47.10,157
471,     47.20,177
472,     47.30,170
473,     47.40,146
474,     47.50,166
475,     47.60,144
476,     47.70,173
477,     47.80,145
478,     47.90,181
479,     48.00,150
480,     48.10,157
481,     48.20,137
482,     48.30,164
483,     48.40,168
484,     48.50,189
485,     48.60,149
486,     48.70,156
487,     48.80,161
488,     48.90,164
489,     49.00,163
490,     49.10,175
491,     49.20,142
492,     49.30,157
493,     49.40,179
494,     49.50,159
495,     49.60,152
496,     49.70,174
497,     49.80,154
498,     49.90,161
499,     50.00,148
500,     50.10,170
501,     50.20,149
502,     50.30,156
503,     50.40,158
504,     50.50,152
505,     50.60,151
506,     50.70,154
507,     50.80,169
508,     50.90,161
509,     51.00,163
510,     51.10,166
511,     51.20,162
512,     51.30,162
513,     51.40,145
514,     51.50,168
515,     51.60,146
516,     51.70,156
517,     51.80,164
518,     51.90,155
519,     52.00,168
520,     52.10,158
521,     52.20,160
522,     52.30,167
523,     52.40,143
524,     52.50,146
525,     52.60,164
