Spectrum Name:,
Description:,
Student ID:,
Detector Used:,
Comments:,
Acquisition Mode:,Mossbauer
Mossbauer Dwell Time:,0.1 mSeconds
Elapsed Passes:,306000 
High Voltage:,1800
Conversion Gain:,2048
Coarse Gain:,8
Fine Gain:,1.77
ULD:,  45%
LLD:,  28%

Channel Data:
Chan,Dwell(mSec.),Counts
0,      0.10,1458
1,      0.20,1534
2,      0.30,1537
3,      0.40,1571
4,      0.50,1516
5,      0.60,1481
6,      0.70,1429
7,      0.80,1492
8,      0.90,1372
9,      1.00,1361
10,      1.10,1354
11,      1.20,1468
12,      1.30,1517
13,      1.40,1451
14,      1.50,1558
15,      1.60,1577
16,      1.70,1499
17,      1.80,1574
18,      1.90,1511
19,      2.00,1556
20,      2.10,1456
21,      2.20,1556
22,      2.30,1414
23,      2.40,1479
24,      2.50,1549
25,      2.60,1499
26,      2.70,1377
27,      2.80,1408
28,      2.90,1447
29,      3.00,1504
30,      3.10,1447
31,      3.20,1503
32,      3.30,1457
33,      3.40,1495
34,      3.50,1529
35,      3.60,1467
36,      3.70,1485
37,      3.80,1537
38,      3.90,1509
39,      4.00,1467
40,      4.10,1491
41,      4.20,1480
42,      4.30,1479
43,      4.40,1519
44,      4.50,1475
45,      4.60,1518
46,      4.70,1549
47,      4.80,1491
48,      4.90,1506
49,      5.00,1443
50,      5.10,1489
51,      5.20,1517
52,      5.30,1501
53,      5.40,1483
54,      5.50,1440
55,      5.60,1481
56,      5.70,1472
57,      5.80,1434
58,      5.90,1479
59,      6.00,1497
60,      6.10,1502
61,      6.20,1454
62,      6.30,1532
63,      6.40,1578
64,      6.50,1533
65,      6.60,1489
66,      6.70,1493
67,      6.80,1542
68,      6.90,1589
69,      7.00,1485
70,      7.10,1514
71,      7.20,1531
72,      7.30,1459
73,      7.40,1446
74,      7.50,1467
75,      7.60,1413
76,      7.70,1457
77,      7.80,1427
78,      7.90,1484
79,      8.00,1550
80,      8.10,1469
81,      8.20,1537
82,      8.30,1509
83,      8.40,1532
84,      8.50,1509
85,      8.60,1548
86,      8.70,1498
87,      8.80,1530
88,      8.90,1498
89,      9.00,1469
90,      9.10,1408
91,      9.20,1595
92,      9.30,1348
93,      9.40,1417
94,      9.50,1391
95,      9.60,1366
96,      9.70,1395
97,      9.80,1494
98,      9.90,1514
99,     10.00,1521
100,     10.10,1481
101,     10.20,1531
102,     10.30,1552
103,     10.40,1509
104,     10.50,1530
105,     10.60,1543
106,     10.70,1588
107,     10.80,1648
108,     10.90,1532
109,     11.00,1643
