Spectrum Name:,
Description:,
Student ID:,
Detector Used:,
Comments:,
Acquisition Mode:,Mossbauer
Mossbauer Dwell Time:,0.1 mSeconds
Elapsed Passes:,1530000 
High Voltage:,1800
Conversion Gain:,2048
Coarse Gain:,8
Fine Gain:,1.77
ULD:,  45%
LLD:,  28%

Channel Data:
Chan,Dwell(mSec.),Counts
0,      0.10,6071
1,      0.20,6023
2,      0.30,6003
3,      0.40,5999
4,      0.50,6000
5,      0.60,6034
6,      0.70,5992
7,      0.80,5925
8,      0.90,6122
9,      1.00,5909
10,      1.10,5980
11,      1.20,6142
12,      1.30,5953
13,      1.40,5999
14,      1.50,5998
15,      1.60,6044
16,      1.70,5865
17,      1.80,6108
18,      1.90,6060
19,      2.00,6074
20,      2.10,5952
21,      2.20,6025
22,      2.30,5979
23,      2.40,6038
24,      2.50,6014
25,      2.60,6053
26,      2.70,5992
27,      2.80,6026
28,      2.90,6000
29,      3.00,6013
30,      3.10,5967
31,      3.20,5993
32,      3.30,5855
33,      3.40,5890
34,      3.50,5866
35,      3.60,5886
36,      3.70,5701
37,      3.80,5477
38,      3.90,5074
39,      4.00,5361
40,      4.10,5854
41,      4.20,5874
42,      4.30,5862
43,      4.40,5857
44,      4.50,5909
45,      4.60,6016
46,      4.70,6001
47,      4.80,5908
48,      4.90,5727
49,      5.00,6006
50,      5.10,5990
51,      5.20,6046
52,      5.30,5996
53,      5.40,5831
54,      5.50,5535
55,      5.60,5106
56,      5.70,5216
57,      5.80,5658
58,      5.90,5824
59,      6.00,5841
60,      6.10,5828
61,      6.20,5965
62,      6.30,5914
63,      6.40,5970
64,      6.50,6007
65,      6.60,6031
66,      6.70,6138
67,      6.80,5878
68,      6.90,5889
69,      7.00,6074
70,      7.10,5988
71,      7.20,6027
72,      7.30,5895
73,      7.40,6000
74,      7.50,6098
75,      7.60,6009
76,      7.70,5976
77,      7.80,6060
78,      7.90,5981
79,      8.00,6039
80,      8.10,6067
81,      8.20,6019
82,      8.30,6050
83,      8.40,6084
84,      8.50,5901
85,      8.60,5910
86,      8.70,5970
87,      8.80,6049
88,      8.90,5981
89,      9.00,6150
90,      9.10,6147
91,      9.20,6046
92,      9.30,6026
93,      9.40,5897
94,      9.50,6055
95,      9.60,5874
96,      9.70,5960
97,      9.80,5913
98,      9.90,5942
99,     10.00,5992
100,     10.10,6015
101,     10.20,6069
102,     10.30,6153
103,     10.40,5863
104,     10.50,5967
105,     10.60,6018
