Spectrum Name:,
Description:,
Student ID:,
Detector Used:,
Comments:,
Acquisition Mode:,Mossbauer
Mossbauer Dwell Time:,0.1 mSeconds
Elapsed Passes:,9000 
High Voltage:,1800
Conversion Gain:,2048
Coarse Gain:,8
Fine Gain:,1.77
ULD:,  45%
LLD:,  28%

Channel Data:
Chan,Dwell(mSec.),Counts
0,      0.10,179
1,      0.20,227
2,      0.30,216
3,      0.40,220
4,      0.50,212
5,      0.60,223
6,      0.70,225
7,      0.80,236
8,      0.90,210
9,      1.00,218
10,      1.10,222
11,      1.20,217
12,      1.30,237
13,      1.40,219
14,      1.50,240
15,      1.60,212
16,      1.70,211
17,      1.80,206
18,      1.90,209
19,      2.00,205
20,      2.10,211
21,      2.20,209
22,      2.30,224
23,      2.40,197
24,      2.50,223
25,      2.60,220
26,      2.70,242
27,      2.80,210
28,      2.90,239
29,      3.00,225
30,      3.10,206
31,      3.20,207
32,      3.30,195
33,      3.40,213
34,      3.50,190
35,      3.60,174
36,      3.70,156
37,      3.80,163
38,      3.90,189
39,      4.00,183
40,      4.10,192
41,      4.20,185
42,      4.30,186
43,      4.40,187
44,      4.50,205
45,      4.60,187
46,      4.70,247
47,      4.80,193
48,      4.90,232
49,      5.00,199
50,      5.10,235
51,      5.20,197
52,      5.30,219
53,      5.40,222
54,      5.50,214
55,      5.60,225
56,      5.70,228
57,      5.80,239
58,      5.90,195
59,      6.00,209
60,      6.10,215
61,      6.20,204
62,      6.30,185
63,      6.40,209
64,      6.50,235
65,      6.60,207
66,      6.70,184
67,      6.80,193
68,      6.90,211
69,      7.00,183
70,      7.10,192
71,      7.20,198
72,      7.30,152
73,      7.40,183
74,      7.50,169
75,      7.60,157
76,      7.70,193
77,      7.80,163
78,      7.90,176
79,      8.00,200
80,      8.10,225
81,      8.20,189
82,      8.30,209
83,      8.40,214
84,      8.50,200
85,      8.60,186
86,      8.70,234
87,      8.80,224
88,      8.90,235
89,      9.00,208
90,      9.10,203
91,      9.20,213
92,      9.30,223
93,      9.40,207
94,      9.50,226
95,      9.60,262
96,      9.70,221
97,      9.80,218
98,      9.90,227
99,     10.00,230
100,     10.10,219
101,     10.20,208
102,     10.30,204
103,     10.40,221
104,     10.50,196
105,     10.60,203
106,     10.70,226
107,     10.80,220
108,     10.90,206
109,     11.00,203
110,     11.10,204
111,     11.20,196
