Spectrum Name:,
Description:,
Student ID:,
Detector Used:,
Comments:,
Acquisition Mode:,Mossbauer
Mossbauer Dwell Time:,0.1 mSeconds
Elapsed Passes:,465447 
High Voltage:,1800
Conversion Gain:,2048
Coarse Gain:,8
Fine Gain:,1.77
ULD:,  45%
LLD:,  28%

Channel Data:
Chan,Dwell(mSec.),Counts
0,      0.10,2157
1,      0.20,2202
2,      0.30,2269
3,      0.40,2136
4,      0.50,2266
5,      0.60,2210
6,      0.70,2244
7,      0.80,2288
8,      0.90,2211
9,      1.00,2169
10,      1.10,2130
11,      1.20,2115
12,      1.30,2224
13,      1.40,2224
14,      1.50,2196
15,      1.60,2183
16,      1.70,2134
17,      1.80,2254
18,      1.90,2223
19,      2.00,2185
20,      2.10,2173
21,      2.20,2143
22,      2.30,2177
23,      2.40,2192
24,      2.50,2209
25,      2.60,2141
26,      2.70,2164
27,      2.80,2219
28,      2.90,2106
29,      3.00,2168
30,      3.10,2209
31,      3.20,2168
32,      3.30,2119
33,      3.40,2204
34,      3.50,2183
35,      3.60,2205
36,      3.70,2212
37,      3.80,2197
38,      3.90,2253
39,      4.00,2103
40,      4.10,2224
41,      4.20,2164
42,      4.30,2153
43,      4.40,2201
44,      4.50,2223
45,      4.60,2238
46,      4.70,2196
47,      4.80,2074
48,      4.90,2217
49,      5.00,2151
50,      5.10,2103
51,      5.20,2160
52,      5.30,2055
53,      5.40,2060
54,      5.50,2115
55,      5.60,2038
56,      5.70,2003
57,      5.80,2042
58,      5.90,2056
59,      6.00,2030
60,      6.10,2019
61,      6.20,2054
62,      6.30,2067
63,      6.40,2043
64,      6.50,2046
65,      6.60,2109
66,      6.70,2079
67,      6.80,2199
68,      6.90,2107
69,      7.00,2122
70,      7.10,2202
71,      7.20,2184
72,      7.30,2103
73,      7.40,2194
74,      7.50,2179
75,      7.60,2207
76,      7.70,2218
77,      7.80,2120
78,      7.90,2239
79,      8.00,2199
80,      8.10,2161
81,      8.20,2245
82,      8.30,2170
83,      8.40,2175
84,      8.50,2256
85,      8.60,2194
86,      8.70,2188
87,      8.80,2261
88,      8.90,2239
89,      9.00,2264
90,      9.10,2200
91,      9.20,2220
92,      9.30,2255
93,      9.40,2162
94,      9.50,2212
95,      9.60,2215
96,      9.70,2199
97,      9.80,2214
98,      9.90,2243
99,     10.00,2151
100,     10.10,2195
101,     10.20,2286
102,     10.30,2158
103,     10.40,2229
104,     10.50,2175
105,     10.60,2137
106,     10.70,2318
107,     10.80,2217
108,     10.90,2216
109,     11.00,2256
110,     11.10,2192
111,     11.20,2200
112,     11.30,2073
113,     11.40,2227
114,     11.50,2179
115,     11.60,2168
116,     11.70,2135
117,     11.80,2107
118,     11.90,2168
119,     12.00,2251
120,     12.10,2209
121,     12.20,2254
122,     12.30,2212
123,     12.40,2151
124,     12.50,2171
125,     12.60,2184
126,     12.70,2213
127,     12.80,2116
128,     12.90,2169
129,     13.00,2223
130,     13.10,2158
