Spectrum Name:,
Description:,
Student ID:,
Detector Used:,
Comments:,
Acquisition Mode:,Mossbauer
Mossbauer Dwell Time:,0.1 mSeconds
Elapsed Passes:,9693 
High Voltage:,1800
Conversion Gain:,2048
Coarse Gain:,8
Fine Gain:,1.77
ULD:,  45%
LLD:,  28%

Channel Data:
Chan,Dwell(mSec.),Counts
0,      0.10,213
1,      0.20,214
2,      0.30,215
3,      0.40,217
4,      0.50,212
5,      0.60,204
6,      0.70,223
7,      0.80,243
8,      0.90,235
9,      1.00,201
10,      1.10,208
11,      1.20,213
12,      1.30,236
13,      1.40,205
14,      1.50,237
15,      1.60,208
16,      1.70,202
17,      1.80,227
18,      1.90,211
19,      2.00,203
20,      2.10,226
21,      2.20,216
22,      2.30,214
23,      2.40,229
24,      2.50,231
25,      2.60,205
26,      2.70,239
27,      2.80,228
28,      2.90,230
29,      3.00,195
30,      3.10,192
31,      3.20,210
32,      3.30,235
33,      3.40,226
34,      3.50,232
35,      3.60,255
36,      3.70,214
37,      3.80,237
38,      3.90,218
39,      4.00,225
40,      4.10,246
41,      4.20,202
42,      4.30,196
43,      4.40,194
44,      4.50,199
45,      4.60,209
46,      4.70,235
47,      4.80,207
48,      4.90,222
49,      5.00,214
50,      5.10,188
51,      5.20,207
52,      5.30,205
53,      5.40,190
54,      5.50,181
55,      5.60,206
56,      5.70,232
57,      5.80,203
58,      5.90,191
59,      6.00,217
60,      6.10,201
61,      6.20,179
62,      6.30,222
63,      6.40,242
64,      6.50,218
65,      6.60,222
66,      6.70,212
67,      6.80,203
68,      6.90,209
69,      7.00,201
70,      7.10,212
71,      7.20,195
72,      7.30,210
73,      7.40,196
74,      7.50,195
75,      7.60,232
76,      7.70,213
77,      7.80,222
78,      7.90,218
79,      8.00,253
80,      8.10,215
81,      8.20,204
82,      8.30,216
83,      8.40,237
84,      8.50,261
85,      8.60,224
86,      8.70,207
87,      8.80,229
88,      8.90,231
89,      9.00,211
90,      9.10,196
91,      9.20,222
92,      9.30,225
93,      9.40,215
94,      9.50,222
95,      9.60,213
96,      9.70,212
97,      9.80,209
98,      9.90,236
99,     10.00,203
100,     10.10,215
101,     10.20,198
102,     10.30,225
103,     10.40,227
104,     10.50,218
105,     10.60,242
106,     10.70,213
107,     10.80,211
108,     10.90,211
109,     11.00,222
110,     11.10,236
111,     11.20,221
112,     11.30,223
113,     11.40,213
114,     11.50,208
115,     11.60,252
116,     11.70,191
117,     11.80,220
118,     11.90,208
119,     12.00,214
120,     12.10,234
121,     12.20,237
122,     12.30,233
123,     12.40,221
124,     12.50,187
125,     12.60,203
126,     12.70,221
127,     12.80,218
128,     12.90,202
129,     13.00,200
130,     13.10,194
131,     13.20,190
132,     13.30,233
133,     13.40,204
134,     13.50,205
135,     13.60,213
136,     13.70,236
137,     13.80,190
138,     13.90,200
139,     14.00,217
140,     14.10,196
141,     14.20,177
142,     14.30,206
143,     14.40,209
144,     14.50,231
145,     14.60,205
