Spectrum Name:,
Description:,
Student ID:,
Detector Used:,
Comments:,
Acquisition Mode:,Mossbauer
Mossbauer Dwell Time:,0.1 mSeconds
Elapsed Passes:,27000 
High Voltage:,1800
Conversion Gain:,2048
Coarse Gain:,8
Fine Gain:,1.77
ULD:,  45%
LLD:,  28%

Channel Data:
Chan,Dwell(mSec.),Counts
0,      0.10,442
1,      0.20,482
2,      0.30,486
3,      0.40,464
4,      0.50,523
5,      0.60,464
6,      0.70,453
7,      0.80,463
8,      0.90,482
9,      1.00,427
10,      1.10,481
11,      1.20,523
12,      1.30,489
13,      1.40,474
14,      1.50,486
15,      1.60,479
16,      1.70,452
17,      1.80,440
18,      1.90,465
19,      2.00,494
20,      2.10,504
21,      2.20,428
22,      2.30,459
23,      2.40,465
24,      2.50,489
25,      2.60,461
26,      2.70,476
27,      2.80,486
28,      2.90,473
29,      3.00,444
30,      3.10,485
31,      3.20,481
32,      3.30,481
33,      3.40,500
34,      3.50,483
35,      3.60,487
36,      3.70,502
37,      3.80,486
38,      3.90,479
39,      4.00,487
40,      4.10,523
41,      4.20,471
42,      4.30,502
43,      4.40,458
44,      4.50,498
45,      4.60,494
46,      4.70,508
47,      4.80,460
48,      4.90,438
49,      5.00,489
50,      5.10,475
51,      5.20,475
52,      5.30,465
53,      5.40,486
54,      5.50,386
55,      5.60,452
56,      5.70,498
57,      5.80,485
58,      5.90,480
59,      6.00,432
60,      6.10,497
61,      6.20,484
62,      6.30,496
63,      6.40,477
64,      6.50,494
65,      6.60,442
66,      6.70,450
67,      6.80,475
68,      6.90,482
69,      7.00,468
70,      7.10,483
71,      7.20,448
72,      7.30,488
73,      7.40,509
74,      7.50,444
75,      7.60,448
76,      7.70,429
77,      7.80,440
78,      7.90,465
79,      8.00,446
80,      8.10,444
81,      8.20,461
82,      8.30,423
83,      8.40,505
84,      8.50,501
85,      8.60,499
86,      8.70,471
87,      8.80,459
88,      8.90,519
89,      9.00,469
90,      9.10,463
91,      9.20,475
92,      9.30,511
93,      9.40,518
94,      9.50,462
95,      9.60,501
96,      9.70,438
97,      9.80,519
98,      9.90,492
99,     10.00,447
100,     10.10,498
101,     10.20,456
102,     10.30,462
103,     10.40,484
104,     10.50,503
105,     10.60,464
106,     10.70,483
107,     10.80,495
108,     10.90,484
109,     11.00,516
110,     11.10,453
111,     11.20,449
112,     11.30,467
113,     11.40,509
114,     11.50,502
115,     11.60,486
116,     11.70,467
117,     11.80,448
118,     11.90,465
119,     12.00,492
120,     12.10,475
121,     12.20,499
122,     12.30,481
123,     12.40,511
124,     12.50,469
125,     12.60,481
126,     12.70,455
127,     12.80,474
128,     12.90,471
129,     13.00,451
130,     13.10,494
131,     13.20,488
132,     13.30,465
133,     13.40,460
134,     13.50,472
135,     13.60,443
136,     13.70,475
137,     13.80,467
138,     13.90,437
139,     14.00,469
140,     14.10,486
141,     14.20,484
142,     14.30,498
143,     14.40,492
144,     14.50,488
145,     14.60,520
146,     14.70,472
147,     14.80,483
148,     14.90,463
149,     15.00,477
150,     15.10,491
151,     15.20,497
152,     15.30,499
153,     15.40,478
154,     15.50,505
155,     15.60,498
156,     15.70,473
157,     15.80,465
158,     15.90,456
159,     16.00,457
160,     16.10,496
161,     16.20,492
162,     16.30,465
163,     16.40,489
164,     16.50,463
165,     16.60,496
166,     16.70,450
167,     16.80,471
168,     16.90,464
169,     17.00,474
170,     17.10,452
171,     17.20,454
172,     17.30,477
173,     17.40,481
174,     17.50,512
175,     17.60,457
176,     17.70,470
177,     17.80,482
178,     17.90,505
179,     18.00,473
180,     18.10,442
181,     18.20,458
182,     18.30,459
183,     18.40,463
184,     18.50,425
185,     18.60,489
186,     18.70,466
187,     18.80,470
188,     18.90,480
189,     19.00,471
190,     19.10,443
191,     19.20,490
192,     19.30,476
193,     19.40,496
194,     19.50,473
195,     19.60,487
196,     19.70,452
197,     19.80,457
198,     19.90,523
199,     20.00,484
200,     20.10,486
201,     20.20,481
202,     20.30,437
203,     20.40,492
204,     20.50,465
205,     20.60,467
206,     20.70,468
207,     20.80,519
208,     20.90,482
209,     21.00,500
210,     21.10,473
211,     21.20,459
212,     21.30,470
213,     21.40,471
214,     21.50,470
215,     21.60,504
216,     21.70,466
217,     21.80,484
218,     21.90,472
219,     22.00,506
220,     22.10,507
221,     22.20,466
222,     22.30,463
223,     22.40,500
224,     22.50,442
225,     22.60,484
226,     22.70,475
227,     22.80,486
228,     22.90,464
229,     23.00,420
230,     23.10,468
231,     23.20,512
232,     23.30,479
233,     23.40,490
234,     23.50,476
235,     23.60,446
236,     23.70,465
237,     23.80,458
238,     23.90,487
239,     24.00,525
240,     24.10,484
241,     24.20,501
242,     24.30,504
243,     24.40,518
244,     24.50,471
245,     24.60,466
246,     24.70,448
247,     24.80,465
248,     24.90,463
249,     25.00,461
250,     25.10,444
251,     25.20,428
252,     25.30,449
253,     25.40,478
254,     25.50,487
255,     25.60,435
256,     25.70,460
257,     25.80,465
258,     25.90,433
259,     26.00,474
260,     26.10,489
261,     26.20,470
262,     26.30,458
263,     26.40,483
264,     26.50,444
265,     26.60,479
266,     26.70,506
267,     26.80,458
268,     26.90,466
269,     27.00,470
270,     27.10,461
271,     27.20,509
272,     27.30,466
273,     27.40,450
274,     27.50,480
275,     27.60,496
276,     27.70,526
277,     27.80,494
278,     27.90,514
279,     28.00,469
280,     28.10,497
281,     28.20,483
282,     28.30,459
283,     28.40,443
284,     28.50,516
285,     28.60,499
286,     28.70,497
287,     28.80,477
288,     28.90,482
289,     29.00,502
290,     29.10,489
291,     29.20,469
292,     29.30,472
293,     29.40,503
294,     29.50,465
295,     29.60,454
296,     29.70,501
297,     29.80,482
298,     29.90,482
299,     30.00,469
300,     30.10,478
301,     30.20,473
302,     30.30,506
303,     30.40,484
304,     30.50,482
305,     30.60,519
306,     30.70,489
307,     30.80,492
308,     30.90,470
309,     31.00,511
310,     31.10,489
311,     31.20,486
312,     31.30,497
313,     31.40,457
314,     31.50,419
315,     31.60,463
316,     31.70,480
317,     31.80,526
318,     31.90,459
319,     32.00,475
320,     32.10,482
321,     32.20,455
322,     32.30,476
323,     32.40,467
324,     32.50,491
325,     32.60,461
326,     32.70,452
327,     32.80,487
328,     32.90,459
329,     33.00,466
330,     33.10,436
331,     33.20,493
332,     33.30,479
333,     33.40,443
334,     33.50,481
335,     33.60,471
336,     33.70,472
337,     33.80,501
338,     33.90,488
339,     34.00,477
340,     34.10,442
341,     34.20,492
342,     34.30,486
343,     34.40,501
344,     34.50,481
345,     34.60,482
346,     34.70,479
347,     34.80,501
348,     34.90,496
349,     35.00,455
350,     35.10,496
351,     35.20,470
352,     35.30,450
353,     35.40,485
354,     35.50,411
355,     35.60,511
356,     35.70,473
357,     35.80,476
358,     35.90,505
359,     36.00,443
360,     36.10,473
361,     36.20,492
362,     36.30,447
363,     36.40,468
364,     36.50,514
365,     36.60,447
366,     36.70,453
367,     36.80,496
368,     36.90,461
369,     37.00,491
370,     37.10,469
371,     37.20,465
372,     37.30,493
373,     37.40,452
374,     37.50,458
375,     37.60,496
376,     37.70,471
377,     37.80,465
378,     37.90,472
379,     38.00,469
380,     38.10,504
381,     38.20,486
382,     38.30,410
383,     38.40,429
384,     38.50,448
385,     38.60,462
386,     38.70,444
387,     38.80,492
388,     38.90,477
389,     39.00,482
390,     39.10,461
391,     39.20,469
392,     39.30,446
393,     39.40,508
394,     39.50,493
395,     39.60,459
396,     39.70,449
397,     39.80,448
398,     39.90,506
399,     40.00,494
400,     40.10,477
401,     40.20,466
402,     40.30,491
403,     40.40,514
404,     40.50,513
405,     40.60,500
406,     40.70,477
407,     40.80,476
408,     40.90,467
409,     41.00,456
410,     41.10,492
411,     41.20,476
412,     41.30,470
413,     41.40,437
414,     41.50,423
415,     41.60,450
416,     41.70,476
417,     41.80,449
418,     41.90,480
419,     42.00,474
420,     42.10,511
421,     42.20,475
422,     42.30,450
423,     42.40,478
424,     42.50,476
425,     42.60,485
426,     42.70,445
427,     42.80,474
428,     42.90,480
429,     43.00,498
430,     43.10,469
431,     43.20,478
432,     43.30,459
433,     43.40,486
434,     43.50,462
435,     43.60,457
436,     43.70,461
437,     43.80,461
438,     43.90,485
439,     44.00,436
440,     44.10,485
441,     44.20,456
442,     44.30,510
443,     44.40,428
444,     44.50,490
445,     44.60,476
446,     44.70,495
447,     44.80,492
448,     44.90,501
449,     45.00,472
450,     45.10,470
451,     45.20,491
452,     45.30,487
453,     45.40,491
454,     45.50,476
455,     45.60,448
456,     45.70,463
457,     45.80,478
458,     45.90,443
459,     46.00,477
460,     46.10,462
461,     46.20,462
462,     46.30,459
463,     46.40,468
464,     46.50,484
465,     46.60,518
466,     46.70,458
467,     46.80,443
468,     46.90,452
469,     47.00,495
470,     47.10,461
471,     47.20,432
472,     47.30,489
473,     47.40,464
474,     47.50,488
475,     47.60,486
476,     47.70,466
477,     47.80,487
478,     47.90,481
479,     48.00,515
480,     48.10,474
481,     48.20,456
482,     48.30,453
483,     48.40,490
484,     48.50,478
485,     48.60,438
486,     48.70,462
487,     48.80,451
488,     48.90,411
489,     49.00,467
490,     49.10,469
491,     49.20,450
492,     49.30,490
493,     49.40,463
494,     49.50,491
495,     49.60,497
496,     49.70,480
497,     49.80,482
498,     49.90,475
499,     50.00,463
500,     50.10,494
501,     50.20,483
502,     50.30,452
503,     50.40,494
504,     50.50,455
505,     50.60,447
506,     50.70,437
507,     50.80,462
508,     50.90,466
509,     51.00,443
510,     51.10,454
511,     51.20,485
512,     51.30,464
513,     51.40,501
514,     51.50,491
515,     51.60,462
516,     51.70,517
517,     51.80,475
518,     51.90,445
519,     52.00,498
520,     52.10,514
521,     52.20,438
522,     52.30,470
523,     52.40,459
524,     52.50,469
525,     52.60,449
526,     52.70,482
527,     52.80,497
528,     52.90,448
529,     53.00,489
530,     53.10,489
531,     53.20,491
532,     53.30,468
533,     53.40,452
534,     53.50,484
535,     53.60,504
536,     53.70,506
537,     53.80,479
538,     53.90,458
539,     54.00,507
540,     54.10,486
541,     54.20,457
542,     54.30,481
543,     54.40,443
544,     54.50,442
545,     54.60,508
546,     54.70,472
547,     54.80,493
548,     54.90,476
549,     55.00,487
550,     55.10,439
551,     55.20,494
552,     55.30,475
553,     55.40,483
554,     55.50,463
555,     55.60,451
556,     55.70,487
557,     55.80,470
558,     55.90,461
559,     56.00,491
560,     56.10,448
561,     56.20,491
562,     56.30,454
563,     56.40,474
564,     56.50,478
565,     56.60,483
566,     56.70,494
567,     56.80,512
568,     56.90,442
569,     57.00,481
570,     57.10,506
571,     57.20,471
572,     57.30,491
573,     57.40,445
574,     57.50,478
575,     57.60,514
576,     57.70,444
577,     57.80,486
578,     57.90,478
579,     58.00,436
580,     58.10,476
581,     58.20,492
582,     58.30,460
583,     58.40,465
584,     58.50,460
585,     58.60,466
586,     58.70,439
587,     58.80,485
588,     58.90,490
589,     59.00,462
590,     59.10,464
591,     59.20,485
592,     59.30,451
593,     59.40,450
594,     59.50,480
595,     59.60,447
596,     59.70,440
597,     59.80,461
598,     59.90,473
599,     60.00,474
600,     60.10,478
601,     60.20,462
602,     60.30,474
603,     60.40,475
604,     60.50,426
605,     60.60,447
606,     60.70,472
607,     60.80,465
608,     60.90,498
609,     61.00,501
610,     61.10,450
611,     61.20,442
612,     61.30,440
613,     61.40,535
614,     61.50,471
615,     61.60,468
616,     61.70,432
617,     61.80,478
618,     61.90,474
619,     62.00,482
620,     62.10,467
621,     62.20,436
622,     62.30,458
623,     62.40,490
624,     62.50,465
625,     62.60,473
626,     62.70,479
627,     62.80,483
628,     62.90,454
629,     63.00,449
630,     63.10,505
631,     63.20,447
632,     63.30,459
633,     63.40,490
634,     63.50,444
635,     63.60,472
636,     63.70,510
637,     63.80,474
638,     63.90,479
639,     64.00,459
640,     64.10,445
641,     64.20,465
642,     64.30,500
643,     64.40,455
644,     64.50,466
645,     64.60,476
646,     64.70,437
647,     64.80,481
648,     64.90,471
649,     65.00,470
650,     65.10,455
651,     65.20,483
652,     65.30,452
653,     65.40,471
654,     65.50,464
655,     65.60,464
656,     65.70,451
657,     65.80,503
658,     65.90,466
659,     66.00,422
660,     66.10,482
661,     66.20,484
662,     66.30,440
663,     66.40,469
664,     66.50,471
665,     66.60,488
666,     66.70,508
667,     66.80,501
668,     66.90,480
669,     67.00,471
670,     67.10,472
671,     67.20,472
672,     67.30,457
673,     67.40,482
674,     67.50,434
675,     67.60,489
676,     67.70,519
677,     67.80,516
678,     67.90,493
679,     68.00,495
680,     68.10,485
681,     68.20,495
682,     68.30,480
683,     68.40,445
684,     68.50,477
685,     68.60,465
686,     68.70,470
687,     68.80,465
688,     68.90,490
689,     69.00,468
690,     69.10,465
691,     69.20,459
692,     69.30,485
693,     69.40,472
694,     69.50,481
695,     69.60,476
696,     69.70,461
697,     69.80,486
698,     69.90,492
699,     70.00,473
700,     70.10,495
701,     70.20,506
