# Y Calibration via frequency minimization using photo-electric supply - day 5
# X=147.35 Z=25.0
# RF=10-70kHz, 100mVpp, 2.5sec, Temp:41.4
# sec sec mA
# Peak1 ePeak1 Peak2 ePeak2 Y eY
1.30 .01 2.13 .01 45.0 0.1
1.07 .01 1.78 .01 40 .05
.85 .01 1.45 .01 35.00 .05
.70 .01 1.24 .01 29.92 .05
.62 .01 1.11 .01 24.99 .02
.6 .01 1.088 .01 20.02 .03
.676 .01 1.204 .01 15.05 .02
.832 .01 1.432 .01 10.0 .02
1.028 .01 1.736 .01 5.02 .02
1.28 .01 2.09 .01 0.0 .001
1.024 .01 1.724 .01 5.02 .02
1.38 .01 2.250 .01 -2.06 .02
