# Z Calibration via frequency minimization - day 4
# X=149.3 Y=19.005
# RF=10-90kHz, 100mVpp, 2.5sec
# sec sec mA
# Peak1 ePeak1 Peak2 ePeak2 Z
1.112 0.005 1.792 0.005 17.0
1.080 0.005 1.736 0.005 17.5
1.032 0.005 1.672 0.005 18.0
.948 0.005 1.544 0.005 19.0
.776 0.005 1.296 0.005 21.0
.604 0.005 1.040 0.005 23.0
.444 0.005 .796 0.005 25.0
.276 0.005 .540 0.005 27.0
.112 0.005 .288 0.005 29.0
.266 0.005 .516 0.005 39.0
.438 0.005 .772 0.005 41.0
.612 0.005 1.032 0.005 43.0
.794 0.005 1.302 0.005 45.0
.954 0.005 1.546 0.005 47.0
1.312 0.005 1.806 0.005 49.0
